model_uuid,conv_cnt,linear_cnt,relu_cnt,lrelu_cnt,avg_pooling_cnt,max_pooling_cnt,out_features,linear_input_features,conv_kernel_size_2,conv_kernel_size_3,time
3eda1444-f818-4765-a4a4-e5494d76b1b0,7,2,7,0,2,1,75,75264,7,7,0.006600284576416
3d35852e-9f31-4d1b-a459-a893aae2c46d,3,1,2,1,1,1,30,4704,3,3,0.0013997077941894
447badc6-e2bb-4708-a2e4-74411bfbabff,5,2,3,2,2,0,63,21600,5,5,0.0068003177642822
a30125f1-ac8a-4ec2-8f26-0471d0747b0d,6,3,6,0,1,2,51,192,6,6,0.003800344467163
bafb3232-3af3-4a9a-9d37-5fe7b68efc4a,6,2,0,6,1,1,27,12288,6,6,0.0075993537902832
f0d7a260-ac96-4831-8160-8562782b13f5,6,2,2,4,3,0,87,1728,6,6,0.0028013706207275
39be15c0-3d4c-47ca-8a69-a822527ce0d7,5,3,2,3,0,2,32,27744,5,5,0.0098009586334228
f91f359a-543d-40a4-b3c2-cfebd615eee3,2,2,1,1,1,1,46,768,2,2,0.0009999275207519
d48a1177-cd61-4cb5-bae7-2a137876a74e,5,2,0,5,0,2,49,864,5,5,0.0054004192352294
9ae6ad23-4451-44aa-8b71-8099085b4706,5,3,0,5,3,0,27,384,5,5,0.0020003318786621
b09b5f4a-3cfe-477d-9ddd-39ec884d934d,7,2,7,0,1,2,34,3456,7,7,0.0029999732971191
43a10bdf-6a8a-4439-b8cb-c1e796841918,6,3,0,6,0,3,31,192,6,6,0.0030004501342773
3dacaa3d-4f11-477f-a518-04933d4d601e,5,3,5,0,3,0,26,96,5,5,0.0021997928619384
e9332713-7b21-4c47-a0c7-3527259a7706,8,2,0,8,2,1,84,768,8,8,0.0083998203277587
5d8c0dfd-1991-4427-a5a7-32f8b3689152,6,3,0,6,2,0,17,12288,6,6,0.0039998531341552
c4faab31-5f91-48ec-b3d0-9e194bc44896,7,1,0,7,1,2,255,6144,7,7,0.0114001750946044
23938be0-5d99-4ba3-a6b3-b502d6e852e5,6,1,6,0,3,0,286,192,6,6,0.0029999732971191
0f2e67af-cdce-4474-917d-b73ae62b3e02,4,1,3,1,0,2,209,172800,4,4,0.0180004119873046
447c5f09-b88e-435c-9c1b-467831fa43f2,6,2,3,3,1,1,18,4800,6,6,0.0019933700561523
7fe5acad-51ba-4dd7-9ccc-e8997ed26d60,3,2,0,3,1,1,30,1176,3,3,0.0014001369476318
e723e4af-da3a-4c5c-909b-9cf1895f5bfa,4,2,3,1,2,1,58,3072,4,4,0.0014000415802001
f5963920-06c9-4f09-8645-a8d8ace7ce08,5,1,5,0,1,1,117,104544,5,5,0.0084003925323486
974eb721-d25b-42c1-b233-ac132f2df7ea,3,3,1,2,0,2,49,6144,3,3,0.0036000728607177
f39d0bea-4314-4584-9087-3e38099312c1,4,1,3,1,0,2,282,9408,4,4,0.0050012111663818
ac5e2546-f101-4289-a3d9-a6e208660b08,4,1,1,3,1,1,233,196608,4,4,0.0291999340057373
50d835d0-0c2c-4c55-bdf2-d7508c335de1,5,2,2,3,0,3,90,21600,5,5,0.0033932209014892
f31a4f93-6265-4938-ad6b-1c5bcbf39417,7,2,5,2,0,3,51,6144,7,7,0.0040009975433349
22be99f0-ed20-4f68-88c2-00ebebc31efb,7,3,2,5,2,1,67,6144,7,7,0.0048013687133789
92be17c6-ef23-4389-9839-0a8adeb11d9d,3,3,3,0,0,2,59,92256,3,3,0.0092000484466552
ae0b21d0-511b-40c9-8af3-2074011f3300,2,2,2,0,1,1,118,46128,2,2,0.0045951843261718
73c2c31b-c98c-49ba-93ee-48c2d8341763,8,1,2,6,0,3,56,12288,8,8,0.0084024906158447
a930ac9a-32f8-447d-92e1-01d7fd4d26a2,7,2,6,1,2,1,25,3456,7,7,0.0038000106811523
f00b71a8-95ee-46e5-a350-668a9b50ddbc,2,2,1,1,1,1,141,52272,2,2,0.0068000793457031
143b7d13-713d-4b4b-997e-da2bdd3438cc,4,1,1,3,0,2,35,432,4,4,0.001600170135498
